order_id,amount,date,comment
84045829,5.0,2024-08-13,"After reviewing the order, we found the correct payment details. The case is now resolved."
40138173,430.0,2024-08-26,"After reviewing the order, we found the correct payment details. The case is now resolved."
70850839,70.0,2024-06-09,"The payment was processed successfully, and the reconciliation issue is now resolved."
74514252,1000.0,2024-07-22,"The payment was processed successfully, and the reconciliation issue is now resolved."
60827341,202.0,2024-08-26,"The payment was processed successfully, and the reconciliation issue is now resolved."
82340925,29.0,2024-08-26,"The payment was processed successfully, and the reconciliation issue is now resolved."
33963035,21.0,2024-08-10,The resolved payment was successfully reconciled and updated in the system.
42205539,350.0,2024-09-08,The issue has been successfully resolved. The transaction has been matched
43371350,7000.0,2024-05-08,"The order ID mismatch has been resolved, and the correct amount has been applied."
74679886,20.29999924,2024-08-13,"The order ID mismatch has been resolved, and the correct amount has been applied."
63871003,20.0,2024-08-26,"The payment was processed successfully, and the reconciliation issue is now resolved."
83911583,100.0,2024-08-26,"The payment was processed successfully, and the reconciliation issue is now resolved."
81917918,10.0,2024-08-26,"The order ID mismatch has been resolved, and the correct amount has been applied."
74785864,575.0,2024-04-17,"The payment was processed successfully, and the reconciliation issue is now resolved."
95197689,11.19999981,2024-06-08,"The order ID mismatch has been resolved, and the correct amount has been applied."
69007428,2.0,2024-08-26,"The payment was processed successfully, and the reconciliation issue is now resolved."
85688856,102.0,2024-11-16,"After reviewing the order, we found the correct payment details. The case is now resolved."
57673464,173.0,2024-11-19,"After reviewing the order, we found the correct payment details. The case is now resolved."
25544476,16.0,2024-08-26,The issue has been successfully resolved. The transaction has been matched
58366437,10000.0,2024-08-13,"After reviewing the order, we found the correct payment details. The case is now resolved."
13836968,100.0,2024-08-13,"After reviewing the order, we found the correct payment details. The case is now resolved."
78377586,25.0,2024-08-25,The issue has been successfully resolved. The transaction has been matched
